Model:	LI-7810
SN:	TG10-01532
Software Version:	2.3.5
Timestamp:	2025-06-18 09:00:00
Timezone:	America/Los_Angeles
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1750262400	997145891	4237	256	""	2025-06-18	09:00:00	nan	nan	nan	100.723	37.2217	101.135	39.7234	0	0	37.8419	-13000	0	15.6331	176
DATA	1750262401	997145891	4241	256	""	2025-06-18	09:00:01	nan	nan	nan	100.723	37.2382	101.136	39.7236	0	0	37.8578	-13000	0	15.6335	189
DATA	1750262402	997145891	4245	256	""	2025-06-18	09:00:02	nan	nan	nan	100.722	37.2549	101.135	39.7233	0	0	37.8739	-13000	0	15.6331	190
DATA	1750262403	997145891	4249	256	""	2025-06-18	09:00:03	nan	nan	nan	100.724	37.2716	101.135	39.7229	0	0	37.89	-13000	0	15.6327	 98
DATA	1750262404	997145891	4253	256	""	2025-06-18	09:00:04	nan	nan	nan	100.723	37.2882	101.135	39.7231	0	0	37.9062	-13000	0	15.6335	186
DATA	1750262405	997145891	4257	256	""	2025-06-18	09:00:05	nan	nan	nan	100.724	37.3047	101.135	39.7231	0	0	37.9225	-13000	0	15.6331	184
DATA	1750262406	996813058	4261	256	""	2025-06-18	09:00:06	nan	nan	nan	100.723	37.3212	101.133	39.7234	0	0	37.9392	-13000	0	15.6335	180
DATA	1750262407	996813058	4265	256	""	2025-06-18	09:00:07	nan	nan	nan	100.722	37.3362	101.134	39.7236	0	0	37.9535	-13000	0	15.6311	187
DATA	1750262408	996813058	4269	256	""	2025-06-18	09:00:08	nan	nan	nan	100.723	37.3524	101.134	39.7234	0	0	37.9701	-13000	0	15.6311	187
DATA	1750262409	996813058	4273	256	""	2025-06-18	09:00:09	nan	nan	nan	100.723	37.3688	101.134	39.7234	0	0	37.986	-13000	0	15.6311	153
DATA	1750262410	996813058	4277	256	""	2025-06-18	09:00:10	nan	nan	nan	100.723	37.385	101.134	39.7234	0	0	38.0023	-13000	0	15.6307	120
DATA	1750262411	996813058	4281	256	""	2025-06-18	09:00:11	nan	nan	nan	100.723	37.4017	101.134	39.7233	0	0	38.018	-13000	0	15.6311	111
DATA	1750262412	996813058	4285	256	""	2025-06-18	09:00:12	nan	nan	nan	100.723	37.4181	101.133	39.7234	0	0	38.0343	-13000	0	15.6311	168
DATA	1750262413	996813058	4289	256	""	2025-06-18	09:00:13	nan	nan	nan	100.723	37.435	101.133	39.7233	0	0	38.0502	-13000	0	15.6311	120
DATA	1750262414	996484041	4293	256	""	2025-06-18	09:00:14	nan	nan	nan	100.723	37.4513	101.132	39.7231	0	0	38.0665	-13000	0	15.6303	170
DATA	1750262415	996484041	4297	256	""	2025-06-18	09:00:15	nan	nan	nan	100.722	37.4672	101.132	39.7229	0	0	38.0817	-13000	0	15.6327	193
DATA	1750262416	996484041	4301	256	""	2025-06-18	09:00:16	nan	nan	nan	100.723	37.4828	101.132	39.7234	0	0	38.0977	-13000	0	15.6319	189
DATA	1750262417	996484041	4305	256	""	2025-06-18	09:00:17	nan	nan	nan	100.723	37.4992	101.132	39.7234	0	0	38.1138	-13000	0	15.6323	182
DATA	1750262418	996484041	4309	256	""	2025-06-18	09:00:18	nan	nan	nan	100.723	37.5156	101.131	39.7234	0	0	38.13	-13000	0	15.6319	 80
DATA	1750262419	996484041	4313	256	""	2025-06-18	09:00:19	nan	nan	nan	100.723	37.532	101.132	39.7231	0	0	38.1461	-13000	0	15.6319	124
DATA	1750262420	996484041	4317	256	""	2025-06-18	09:00:20	nan	nan	nan	100.723	37.5484	101.131	39.7229	0	0	38.1621	-13000	0	15.6323	170
DATA	1750262421	996145963	4321	256	""	2025-06-18	09:00:21	nan	nan	nan	100.722	37.5648	101.13	39.7229	0	0	38.1782	-13000	0	15.6319	139
DATA	1750262422	996145963	4325	256	""	2025-06-18	09:00:22	nan	nan	nan	100.724	37.581	101.131	39.7229	0	0	38.1944	-13000	0	15.6299	146
DATA	1750262423	996145963	4329	256	""	2025-06-18	09:00:23	nan	nan	nan	100.723	37.5974	101.131	39.7233	0	0	38.2097	-13000	0	15.628	147
DATA	1750262424	996145963	4333	256	""	2025-06-18	09:00:24	nan	nan	nan	100.723	37.6131	101.13	39.7231	0	0	38.225	-13000	0	15.6299	 80
DATA	1750262425	996145963	4337	256	""	2025-06-18	09:00:25	nan	nan	nan	100.723	37.6294	101.131	39.7234	0	0	38.2412	-13000	0	15.6295	192
DATA	1750262426	996145963	4341	256	""	2025-06-18	09:00:26	nan	nan	nan	100.722	37.6459	101.131	39.7233	0	0	38.2573	-13000	0	15.6295	198
DATA	1750262427	996145963	4345	256	""	2025-06-18	09:00:27	nan	nan	nan	100.722	37.6618	101.13	39.7233	0	0	38.2741	-13000	0	15.6295	149
DATA	1750262428	996145963	4349	256	""	2025-06-18	09:00:28	nan	nan	nan	100.722	37.6784	101.13	39.7234	0	0	38.2897	-13000	0	15.6295	172
DATA	1750262429	995817899	4353	256	""	2025-06-18	09:00:29	nan	nan	nan	100.722	37.6948	101.13	39.7234	0	0	38.3058	-13000	0	15.6295	174
DATA	1750262430	995817899	4357	256	""	2025-06-18	09:00:30	nan	nan	nan	100.722	37.7112	101.13	39.7229	0	0	38.3219	-13000	0	15.6295	149
DATA	1750262431	995817899	4361	256	""	2025-06-18	09:00:31	nan	nan	nan	100.721	37.7274	101.13	39.7231	0	0	38.338	-13000	0	15.6295	 98
DATA	1750262432	995817899	4365	256	""	2025-06-18	09:00:32	nan	nan	nan	100.722	37.743	101.13	39.7231	0	0	38.3533	-13000	0	15.6319	 96
DATA	1750262433	995817899	4369	256	""	2025-06-18	09:00:33	nan	nan	nan	100.723	37.7589	101.129	39.7231	0	0	38.3686	-13000	0	15.6307	228
DATA	1750262434	995817899	4373	256	""	2025-06-18	09:00:34	nan	nan	nan	100.722	37.7758	101.129	39.7231	0	0	38.3847	-13000	0	15.6311	216
DATA	1750262435	995817899	4377	256	""	2025-06-18	09:00:35	nan	nan	nan	100.722	37.7921	101.129	39.7229	0	0	38.4008	-13000	0	15.6307	216
DATA	1750262436	995485067	4381	256	""	2025-06-18	09:00:36	nan	nan	nan	100.721	37.8085	101.129	39.7229	0	0	38.4166	-13000	0	15.6303	203
DATA	1750262437	995485067	4385	256	""	2025-06-18	09:00:37	nan	nan	nan	100.722	37.8247	101.128	39.7229	0	0	38.4331	-13000	0	15.6307	207
DATA	1750262438	995485067	4389	256	""	2025-06-18	09:00:38	nan	nan	nan	100.722	37.8413	101.128	39.7233	0	0	38.4492	-13000	0	15.6303	207
DATA	1750262439	995485067	4393	256	""	2025-06-18	09:00:39	nan	nan	nan	100.721	37.8575	101.128	39.7231	0	0	38.4653	-13000	0	15.6307	213
DATA	1750262440	995485067	4397	256	""	2025-06-18	09:00:40	nan	nan	nan	100.721	37.8729	101.128	39.7233	0	0	38.4806	-13000	0	15.6288	212
DATA	1750262441	995485067	4401	256	""	2025-06-18	09:00:41	nan	nan	nan	100.721	37.8887	101.127	39.7231	0	0	38.4959	-13000	0	15.6288	211
